id;fecha;detalles;fecha_envio;tipo;cliente_id;producto_id
1;2021-03-06T20:12:25;parallelism;2021-03-07T11:45:20;EMAIL;44346;48318
2;2021-03-06T21:04:30;payment Regional Cambridgeshire;2021-03-06T22:49:23;EMAIL;50901;74403
3;2021-03-07T15:32:42;compelling even-keeled infrastructures;2021-03-07T13:31:08;EMAIL;63714;47534
4;2021-03-06T21:34:08;Generic;2021-03-07T00:32:11;SMS;97099;76611
5;2021-03-07T00:01:06;collaborative South Carolina;2021-03-07T10:42:00;SMS;67946;66496
6;2021-03-07T09:17:35;Credit Card Account;2021-03-07T13:30:27;EMAIL;67513;38341
7;2021-03-07T10:58:50;protocol;2021-03-07T08:35:04;EMAIL;70931;93388
8;2021-03-06T22:24:00;Soft conglomeration;2021-03-07T18:47:27;SMS;7618;62314
9;2021-03-07T15:40:11;Music target parsing;2021-03-07T03:57:19;SMS;42491;37199
10;2021-03-07T01:02:28;ADP Tasty Berkshire;2021-03-07T11:08:06;SMS;95164;34698
