id;id_pedido;fecha_pedido;estado
1;transmitter bi-directional;2021-03-07T15:16:50;COMPLETADO
2;real-time static copying;2021-03-07T00:13:22;CANCELADO
3;programming extensible Sausages;2021-03-07T01:27:37;CANCELADO
4;focus group;2021-03-07T03:38:40;PENDIENTE
5;Assistant Decentralized Massachusetts;2021-03-07T10:56:04;PENDIENTE
6;Administrator extensible;2021-03-06T23:08:39;COMPLETADO
7;azure Generic Metal Chicken;2021-03-07T06:26:40;PENDIENTE
8;Towels Peru Practical Rubber Mouse;2021-03-07T00:07:42;PENDIENTE
9;bus synergize;2021-03-07T00:17:04;CANCELADO
10;white Money Market Account Central;2021-03-06T23:37:47;COMPLETADO
